PlayerSeasonID,Season,PlayerID,Name,WorldGolfRank,WorldGolfRankLastWeek,Events,AveragePoints,TotalPoints,PointsLost,PointsGained
10932,2025,40000210,Jorge Campillo,79.0,78.0,34,0.3,26.8,-22.9,17.2
11035,2025,40005233,Adrien Dumont De Chassart,79.0,79.0,29,0.3,26.6,-11.6,23.9
11048,2025,40003653,Richard Mansell,80.0,94.0,28,0.3,26.4,-15.5,24.7
10919,2025,40003242,Lee Hodges,80.0,79.0,27,0.3,25.7,-28.9,20.2
11321,2025,40001503,Scott Vincent,81.0,80.0,18,0.3,20.2,-4.2,18.9
10917,2025,40005952,Luke Clanton,82.0,81.0,13,0.3,20.1,-15.0,4.5
11124,2025,40003771,Jayden Schaper,82.0,83.0,31,0.3,26.0,-11.7,25.0
11012,2025,40003586,Seong-Hyeon Kim,83.0,82.0,33,0.3,25.8,-19.6,25.2
10922,2025,40003037,Doug Ghim,83.0,84.0,28,0.3,25.7,-24.0,15.7
11165,2025,40001097,Carlos Ortiz,84.0,80.0,2,0.3,19.7,-9.0,20.4
11435,2025,40002614,J.C. Ritchie,84.0,83.0,29,0.3,25.5,-5.3,25.7
10975,2025,40004329,Carson Young,85.0,97.0,29,0.3,25.5,-18.5,18.0
10974,2025,40002744,Antoine Rozner,85.0,84.0,27,0.3,24.6,-18.8,17.3
10971,2025,40003116,Ewen Ferguson,86.0,85.0,28,0.3,25.0,-20.5,18.6
11046,2025,40000839,Richard T. Lee,86.0,85.0,27,0.3,23.9,-13.0,19.6
11101,2025,40001202,Chad Ramey,87.0,139.0,29,0.3,24.8,-11.7,22.7
11025,2025,40000441,Grant Forrest,87.0,86.0,27,0.2,23.6,-13.8,19.2
11044,2025,40003614,Daniel Hillier,88.0,106.0,29,0.2,24.5,-17.2,24.4
10931,2025,40005631,David Puig,88.0,86.0,12,0.2,18.6,-19.5,13.1
11061,2025,40005078,Jackson Suber,89.0,95.0,26,0.2,22.2,-12.5,20.4
11142,2025,40002591,Oliver Lindell,90.0,89.0,28,0.2,24.1,-7.3,19.7
10861,2025,40002576,Matthieu Pavon,90.0,88.0,29,0.2,23.9,-52.5,4.5
11052,2025,40000893,Joost Luiten,91.0,90.0,28,0.2,23.9,-15.4,22.2
11302,2025,40004829,Taehoon Ok,91.0,90.0,25,0.2,21.1,-5.7,20.0
11064,2025,40002678,Trace Crowe,92.0,87.0,25,0.2,21.5,-12.7,19.3
10976,2025,40001189,Andrew Putnam,92.0,88.0,28,0.2,23.7,-23.1,20.9
10950,2025,40003285,Matthew Jordan,93.0,96.0,27,0.2,23.2,-19.6,13.2
11508,2025,40006019,Jacob Skov Olesen,93.0,95.0,17,0.2,18.1,-2.8,17.6
11223,2025,40002489,Jacques Kruyswijk,94.0,87.0,27,0.2,23.1,-10.5,24.5
11968,2025,40005944,Jackson Koivun,94.0,92.0,3,0.2,18.0,-0.8,18.6
11145,2025,40000535,Lanto Griffin,95.0,92.0,27,0.2,22.4,-8.9,20.9
10906,2025,40000810,Romain Langasque,95.0,93.0,31,0.2,23.0,-25.8,4.7
11055,2025,40003667,Taylor Montgomery,96.0,91.0,25,0.2,20.7,-13.0,19.4
10893,2025,40001620,Will Zalatoris,96.0,91.0,18,0.2,17.6,-27.5,5.2
10961,2025,40001685,Seamus Power,97.0,98.0,29,0.2,22.9,-19.7,15.4
10970,2025,40001476,Peter Uihlein,98.0,94.0,5,0.2,17.5,-10.9,4.1
10999,2025,40002004,Harry Higgs,98.0,93.0,27,0.2,22.2,-15.4,16.6
11087,2025,40003156,Calum Hill,99.0,101.0,29,0.2,22.5,-14.3,21.8
11444,2025,40002346,Henry Lebioda,99.0,99.0,26,0.2,20.5,-8.3,24.3
11193,2025,40005858,Kazuma Kobori,100.0,96.0,27,0.2,21.4,-6.2,20.0
10918,2025,40000917,Matteo Manassero,100.0,98.0,28,0.2,22.0,-22.7,10.3
11008,2025,40000385,Nacho Elvira,101.0,118.0,29,0.2,21.9,-15.7,17.2
11108,2025,40003325,Danny Walker,101.0,100.0,26,0.2,20.1,-9.1,18.8
11253,2025,40002642,Nicolai Von Dellingshausen,102.0,100.0,29,0.2,21.7,-6.9,20.2
11067,2025,40000302,Joel Dahmen,102.0,105.0,29,0.2,21.3,-14.7,19.9
11237,2025,40003180,David Law,103.0,102.0,30,0.2,21.2,-7.2,19.7
11152,2025,40002394,Junghwan Lee,103.0,103.0,26,0.2,19.6,-7.5,16.8
11010,2025,40002335,Hayden Springer,104.0,99.0,25,0.2,19.1,-13.2,16.6
11331,2025,40002245,Jeffrey Kang,104.0,103.0,26,0.2,19.5,-4.8,19.1
11037,2025,40001870,Sam Ryder,105.0,102.0,29,0.2,21.1,-17.3,20.5
11106,2025,40003470,Todd Clements,106.0,104.0,29,0.2,20.9,-11.0,18.4
11077,2025,40003721,Isaiah Salinda,106.0,101.0,25,0.2,18.4,-13.2,17.7
11104,2025,40003213,Zach Bauchou,107.0,106.0,29,0.2,20.8,-7.9,18.1
11243,2025,40005641,Tatsunori Shogenji,107.0,112.0,33,0.2,20.8,-8.5,20.7
11024,2025,40002666,Connor Syme,108.0,107.0,28,0.2,20.6,-16.3,18.0
10960,2025,40000632,Charley Hoffman,108.0,104.0,20,0.2,15.9,-21.8,12.0
11157,2025,40002608,Marcus Armitage,109.0,111.0,28,0.2,20.4,-11.7,21.0
11221,2025,40005483,Davis Chatfield,109.0,107.0,26,0.2,19.1,-8.9,19.3
10994,2025,40003219,Alex Fitzpatrick,110.0,108.0,29,0.2,20.1,-16.7,14.0
11951,2025,40001375,Richard Sterne,110.0,128.0,14,0.2,15.5,-0.5,14.9
10983,2025,40001309,Benjamin Silverman,111.0,114.0,26,0.2,18.6,-15.3,13.4
11147,2025,40003179,Kristoffer Ventura,111.0,112.0,27,0.2,19.3,-10.4,19.2
11085,2025,40001975,Francesco Laporta,112.0,114.0,31,0.2,19.9,-10.6,15.4
11141,2025,40006037,Barend Botha,112.0,109.0,19,0.2,15.3,-5.7,11.9
11001,2025,40003056,Angel Hidalgo,113.0,110.0,30,0.2,19.8,-12.7,10.7
10948,2025,40000546,Julien Guerrier,114.0,115.0,27,0.2,19.4,-19.1,4.5
10925,2025,40001522,Paul Waring,114.0,110.0,22,0.2,15.9,-17.5,0.3
11171,2025,40005559,Kota Yuta Kaneko,115.0,109.0,24,0.2,17.0,-6.3,14.2
10979,2025,40003717,Chandler Phillips,115.0,108.0,27,0.2,19.2,-17.8,12.9
10973,2025,40002829,Guido Migliozzi,115.0,111.0,28,0.2,19.6,-17.7,10.6
11493,2025,40003143,Maximilian Steinlechner,116.0,116.0,27,0.2,19.0,-4.4,19.8
11322,2025,40000348,Ze-Cheng Dou,117.0,121.0,26,0.2,17.8,-6.5,17.7
11478,2025,40001862,Renato Paratore,117.0,118.0,30,0.2,19.3,-6.6,21.3
10989,2025,40002670,Joe Dean,118.0,113.0,26,0.2,18.1,-11.7,11.8
11000,2025,40005452,Yuta Sugiura,118.0,141.0,26,0.2,18.1,-11.6,12.9
11005,2025,40003764,Alejandro Tosti,119.0,116.0,26,0.2,17.7,-18.9,15.8
11080,2025,40001148,Paul Peterson,119.0,117.0,28,0.2,19.2,-10.5,14.2
10957,2025,40002587,Johannes Veerman,120.0,115.0,28,0.2,19.1,-15.6,3.6
11280,2025,40002631,Julian Suri,120.0,119.0,22,0.2,15.3,-5.4,14.8
11242,2025,40001486,Danie Van Tonder,121.0,120.0,31,0.2,18.9,-10.9,21.2
10889,2025,40000561,Adam Hadwin,122.0,117.0,27,0.2,18.5,-35.0,10.3
11094,2025,40003870,Brandon Robinson-Thompson,122.0,119.0,28,0.2,18.9,-10.6,17.4
10935,2025,40000772,Patton Kizzire,123.0,124.0,26,0.2,17.8,-18.7,2.6
10995,2025,40005310,Dan Bradbury,123.0,122.0,30,0.2,18.7,-14.9,11.0
11111,2025,40006028,Ren Yonezawa,124.0,120.0,27,0.2,17.9,-9.3,14.3
10920,2025,40000007,Brooks Koepka,124.0,122.0,4,0.2,14.2,-23.0,10.8
11038,2025,40002760,Ugo Coussaud,124.0,123.0,30,0.2,18.5,-12.8,13.3
11120,2025,40003058,Alejandro Del Rey,125.0,130.0,27,0.2,18.0,-13.1,18.4
11212,2025,40002724,Seung-Taek Lee,126.0,124.0,29,0.2,18.3,-8.5,17.3
10963,2025,40002200,John Catlin,126.0,123.0,23,0.2,15.4,-17.8,2.7
11099,2025,40001417,Miguel Tabuena,127.0,130.0,20,0.2,13.8,-6.9,5.3
10986,2025,40002636,Chan Kim,127.0,125.0,28,0.2,17.9,-20.6,14.7
11636,2025,40002920,Yosuke Asaji,128.0,216.0,27,0.2,17.2,-3.3,17.3
11204,2025,40002845,Marcel Schneider,128.0,127.0,29,0.2,17.9,-8.7,17.0
11056,2025,40003589,Suteepat Prateeptienchai,129.0,126.0,27,0.2,17.2,-8.8,5.3
10959,2025,40002360,Sebastian Söderberg,130.0,129.0,23,0.2,14.7,-21.0,4.7
11801,2025,40005043,Jay Card,130.0,128.0,14,0.2,13.7,-2.2,14.1
11040,2025,40001324,David Skinns,131.0,127.0,27,0.2,17.4,-12.4,13.8
10939,2025,40001686,Adam Schenk,131.0,125.0,31,0.2,17.7,-29.6,16.0
10988,2025,40003578,Frederic Lacroix,132.0,126.0,25,0.2,16.0,-15.7,4.5
11178,2025,40003483,Sadom Kaewkanjana,132.0,134.0,23,0.2,14.5,-6.9,12.4
11247,2025,40003254,Pontus Nyholm,133.0,131.0,28,0.2,17.4,-7.4,16.4
11088,2025,40002564,Darius Van Driel,133.0,132.0,29,0.2,17.4,-11.2,13.7
10964,2025,40000783,Ben Kohles,134.0,132.0,29,0.2,17.4,-21.7,11.1
11167,2025,40000012,Zach Johnson,134.0,133.0,18,0.2,13.3,-8.8,13.9
10978,2025,40001864,Frankie Capan,135.0,131.0,27,0.2,16.3,-15.9,4.5
11092,2025,40004309,Ricky Castillo,135.0,133.0,27,0.2,16.6,-10.4,16.1
11349,2025,40003207,John Vanderlaan,136.0,135.0,27,0.2,16.2,-6.2,15.8
11023,2025,40002429,Shugo Imahira,136.0,144.0,23,0.2,13.9,-11.3,4.3
11011,2025,40003862,Thomas Rosenmuller,137.0,142.0,26,0.2,15.8,-12.1,4.7
11014,2025,40002910,Greyson Sigg,138.0,138.0,28,0.2,16.7,-15.1,12.2
11013,2025,40001065,Henrik Norlander,138.0,134.0,28,0.2,16.7,-14.4,12.2
11004,2025,40001308,Marcel Siem,139.0,138.0,24,0.2,14.4,-14.9,10.5
11065,2025,40004876,Yuto Katsuragawa,139.0,139.0,25,0.2,14.6,-11.0,10.2
11480,2025,40004376,Ding Wenyi,140.0,137.0,17,0.2,12.7,-3.3,12.3
11015,2025,40004871,Sam Bairstow,140.0,135.0,30,0.2,16.5,-14.6,11.6
11489,2025,40005581,Sudarshan Yellamaraju,141.0,136.0,25,0.2,14.9,-5.2,16.5
11631,2025,40003744,Jeremy Gandon,141.0,140.0,22,0.2,13.3,-4.5,15.1
11086,2025,40004369,Quade Cummins,142.0,136.0,29,0.2,16.2,-12.4,13.8
11270,2025,40005058,Mitchell Meissner,142.0,140.0,26,0.2,15.0,-7.3,15.0
11261,2025,40002550,Rattanon Wannasrichan,143.0,156.0,27,0.2,15.6,-4.9,12.3
11184,2025,40003112,Noah Goodwin,143.0,141.0,25,0.2,14.0,-7.3,12.1
11069,2025,40005292,Taiga Semikawa,144.0,142.0,27,0.2,15.5,-12.6,12.1
11159,2025,40002976,Jeremy Paul,144.0,153.0,27,0.2,15.1,-10.1,14.2
11286,2025,40002895,Mikael Lindberg,145.0,146.0,28,0.2,15.6,-5.6,13.5
11503,2025,40002751,Doyeob Mun,146.0,145.0,26,0.2,14.4,-3.6,13.6
